"","N1","N2","O1","O2","P1","P2","Q1","Q2","R1","W1","W2","W3","W4"
"CAGL0B01551g",1,1,4,5,4,3,9,4,4,0,1,0,0
"CAGL0B01573g",8,2,6,5,4,3,12,3,5,2,4,4,5
"CAGL0B00682g",1,0,0,2,0,0,1,1,1,0,0,0,0
"CAGL0B05027r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0B04125g",0,2,3,1,3,2,1,2,1,1,2,1,3
"CAGL0B01991g",0,0,1,1,1,0,0,0,2,0,0,0,0
"CAGL0B00506g",1,1,1,1,2,0,3,0,0,0,1,0,0
"CAGL0B03553g",3,1,6,0,2,10,6,2,0,2,2,1,1
"CAGL0B04081r",0,0,0,0,0,0,0,0,0,0,0,0,0
"CAGL0B03707g",10,4,1,2,1,2,1,0,1,2,3,3,4
"CAGL0B04609g",1,0,0,0,1,0,1,0,0,0,0,0,0
"CAGL0B04565g",0,0,2,1,0,0,0,0,0,0,0,1,0
"CAGL0B04279g",2,3,2,0,4,4,2,3,1,0,1,0,1
"CAGL0B04103g",1,0,0,4,0,2,3,0,7,0,1,3,2
"CAGL0B01969g",6,9,31,16,7,10,15,3,10,16,16,3,4
"CAGL0B02497g",0,0,1,0,0,5,2,1,0,0,0,0,0
"CAGL0B04675g",1,2,0,1,0,0,0,1,0,0,1,2,0
"CAGL0B04455g",12,20,19,12,14,11,7,10,13,8,14,27,18
"CAGL0B02755g",1,1,0,1,0,1,1,0,3,1,2,0,0
"CAGL0B01793g",0,1,0,1,0,1,0,1,2,0,0,0,0
"CAGL0B02772g",57,41,50,55,54,72,47,34,42,45,65,34,42
"CAGL0B03839g",5,13,4,6,4,4,17,8,8,7,7,6,6
"CAGL0B03611g",186,135,201,185,204,314,166,146,119,181,214,600,599
"CAGL0B01485g",3,0,1,0,0,0,0,0,1,0,0,0,0
"CAGL0B02651g",3,1,2,1,0,4,3,0,0,1,5,1,0
"CAGL0B04499g",0,1,0,0,0,0,0,2,0,1,0,1,0
"CAGL0B03421g",6,6,3,2,3,3,5,2,4,0,7,6,2
"CAGL0B03245g",2,0,3,0,2,1,5,2,4,1,0,2,3
"CAGL0B02926g",1,3,0,0,0,0,1,0,0,0,0,0,0
"CAGL0B00660g",2,1,2,0,2,0,1,0,1,1,0,0,0
